City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Rosaryville,38.7568,-76.8097,62.65,98,100,9.22,mist
239,Takaka,-40.85,172.8,59.56,76,100,7.18,overcast clouds
240,Homer,59.6425,-151.5483,48.09,80,100,5.99,light rain
241,Monte Alegre De Minas,-18.8706,-48.8808,76.39,51,55,9.69,broken clouds
242,Nicoya,10.1483,-85.452,73.45,95,99,2.93,overcast clouds
243,Bamberg,49.8795,10.8863,54.41,99,51,8.19,broken clouds
244,Puno,-15.8333,-70.0333,46.92,70,79,4.56,broken clouds
245,Vestmanna,62.1564,-7.1664,49.12,87,75,17.27,light rain
246,Bonthe,7.5264,-12.505,75.78,89,100,8.1,light rain
247,Seidu,9.0167,-10.6,67.15,98,98,1.74,moderate rain
248,Khelyulya,61.7333,30.6833,40.78,89,93,1.99,overcast clouds
249,Faya,18.3851,42.4509,59.11,58,1,1.57,clear sky
250,Pinega,64.7001,43.3936,40.91,95,100,3.47,overcast clouds
251,Croy,46.6946,6.4772,59.25,97,100,7.11,overcast clouds
252,Saint Anthony,45.0205,-93.218,61.12,75,75,9.22,broken clouds
253,Lazaro Cardenas,17.9583,-102.2,78.6,84,96,1.41,overcast clouds
254,Asau,46.4333,26.4,65.32,74,100,8.88,overcast clouds
255,Manzhouli,49.6,117.4333,37.02,37,100,21.61,overcast clouds
256,Hamilton,39.1834,-84.5333,63.88,51,0,14.97,clear sky
257,Pulandian,39.3953,121.9669,60.75,96,100,23.47,overcast clouds
258,Isla Mujeres,21.2311,-86.731,77.16,76,100,7.4,overcast clouds
259,Tura,25.5198,90.2201,74.86,96,100,1.74,light rain
260,Kangaatsiaq,68.3065,-53.4641,33.17,72,15,5.68,few clouds
261,Namatanai,-3.6667,152.4333,86.22,62,13,5.46,few clouds
262,Tekeli,44.83,78.8239,39.97,21,0,5.35,clear sky
263,Yar-Sale,66.8333,70.8333,32.56,95,100,15.84,light snow
264,Jinhua,29.1078,119.6547,87.84,48,2,3.62,clear sky
265,Skibotn,69.3913,20.2679,39.02,91,35,8.48,scattered clouds
266,Libreville,0.3925,9.4537,75.24,89,100,6.42,light rain
267,Nabire,-3.3667,135.4833,81.97,76,77,1.99,broken clouds
268,Semirara,12.0697,121.3986,83.68,75,74,20.33,broken clouds
269,Vassouras,-22.4039,-43.6625,65.05,95,92,1.54,overcast clouds
270,Zhigansk,66.7697,123.3711,26.82,71,58,1.72,broken clouds
271,San Cristobal,7.7669,-72.225,71.78,92,36,1.97,scattered clouds
272,Port Blair,11.6667,92.75,84.24,79,75,11.5,broken clouds
273,Coihaique,-45.5752,-72.0662,47.01,65,0,3.44,clear sky
274,Santa Lucia,27.9117,-15.5407,63.72,78,20,13.8,few clouds
275,Nazilli,37.9163,28.3223,75.2,42,67,3.67,broken clouds
276,Cayenne,4.9333,-52.3333,75.24,94,0,0.0,clear sky
277,Dalby,-27.1833,151.2667,62.98,66,89,3.0,overcast clouds
278,Belen,36.4891,36.2233,59.14,100,0,2.3,clear sky
279,Juazeirinho,-6.8167,-38.05,80.31,48,7,10.38,clear sky
280,Novaya Lyada,52.7131,41.6387,56.19,96,98,6.85,overcast clouds
281,Srednekolymsk,67.45,153.6833,29.46,72,100,8.66,overcast clouds
282,Shimoda,34.6667,138.95,80.1,61,55,9.95,broken clouds
283,Ballina,-28.8667,153.5667,59.04,89,100,8.12,overcast clouds
284,Shirvan,39.9509,48.8994,65.88,50,0,1.88,clear sky
285,Kavaratti,10.5669,72.642,81.25,76,68,11.86,broken clouds
286,Mashhad,36.297,59.6062,51.94,50,0,0.0,clear sky
287,Darhan,49.4867,105.9228,32.49,50,100,12.12,overcast clouds
288,Smithers,54.7804,-127.1743,64.72,59,75,9.22,broken clouds
289,Soltsy,58.1239,30.3238,43.29,90,100,3.33,overcast clouds
290,Rawson,-43.3002,-65.1023,51.01,63,100,10.07,overcast clouds
291,Nemuro,43.3236,145.575,58.3,76,95,17.96,overcast clouds
292,Hasaki,35.7333,140.8333,84.29,59,33,10.42,scattered clouds
293,Mananjary,-21.2167,48.3333,66.29,83,100,3.49,overcast clouds
294,Baykit,61.67,96.37,30.56,77,100,8.12,overcast clouds
295,Brekstad,63.687,9.6654,54.01,93,75,2.3,broken clouds
296,Reshetylivka,49.565,34.0782,60.93,67,100,9.89,overcast clouds
297,Bilma,18.6853,12.9164,88.41,23,5,7.54,clear sky
298,Yerbogachen,61.2767,108.0108,29.86,81,99,5.79,overcast clouds
299,Alamosa,37.4695,-105.87,57.18,58,100,6.91,overcast clouds
300,Pevek,69.7008,170.3133,33.58,80,100,4.88,overcast clouds
301,Bancal,11.5591,123.1551,83.12,78,99,8.37,overcast clouds
302,Njinikom,6.2333,10.2833,62.15,95,100,1.92,overcast clouds
303,Vysokogornyy,50.1167,139.15,48.0,61,100,4.65,overcast clouds
304,Puerto Escondido,15.85,-97.0667,74.23,73,75,9.22,broken clouds
305,Komsomolskiy,40.4272,71.7189,59.72,41,85,2.3,overcast clouds
306,Tiznit,29.5833,-9.5,70.05,42,2,1.77,clear sky
307,Severo-Yeniseyskiy,60.3725,93.0408,26.46,80,100,8.16,overcast clouds
308,Itoman,26.1247,127.6694,86.4,67,20,11.5,few clouds
309,Kupang,-10.1667,123.5833,86.29,63,90,3.06,overcast clouds
310,Nushki,29.5542,66.0215,70.54,15,0,0.45,clear sky
311,Bintulu,3.1667,113.0333,77.41,94,40,4.61,scattered clouds
312,Yamada,39.4667,141.95,73.06,62,0,8.03,clear sky
